idx	model	paradigm	condition	signal	seed	out
122	Transformer	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/Transformer/seed2023/pred.npy
123	Autoformer	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/Autoformer/seed2021/pred.npy
124	Autoformer	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/Autoformer/seed2022/pred.npy
125	Autoformer	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/Autoformer/seed2023/pred.npy
126	TimesNet	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/TimesNet/seed2021/pred.npy
127	TimesNet	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/TimesNet/seed2022/pred.npy
128	TimesNet	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/TimesNet/seed2023/pred.npy
129	TSMixer	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/TSMixer/seed2021/pred.npy
130	TSMixer	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/TSMixer/seed2022/pred.npy
131	TSMixer	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/TSMixer/seed2023/pred.npy
132	SeasonalNaive	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/SeasonalNaive/seed2021/pred.npy
133	SeasonalNaive	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/SeasonalNaive/seed2022/pred.npy
134	SeasonalNaive	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/SeasonalNaive/seed2023/pred.npy
